# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 34.882, 33.391 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Athens, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Athens", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "34.882424490120535", "lon": "33.39135523945498", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 02:00,0,0,0,12.923
2019-01-01 01:00,2019-01-01 03:00,0,0,0,12.919
2019-01-01 02:00,2019-01-01 04:00,0,0,0,12.983
2019-01-01 03:00,2019-01-01 05:00,0,0,0,13.012
2019-01-01 04:00,2019-01-01 06:00,0,0,0,13.010
2019-01-01 05:00,2019-01-01 07:00,0.003,0.002,0.018,13.126
2019-01-01 06:00,2019-01-01 08:00,0.049,0.007,0.070,13.478
2019-01-01 07:00,2019-01-01 09:00,0.103,0.015,0.124,13.714
2019-01-01 08:00,2019-01-01 10:00,0.172,0.033,0.184,13.825
2019-01-01 09:00,2019-01-01 11:00,0.204,0.045,0.209,13.993
2019-01-01 10:00,2019-01-01 12:00,0.212,0.053,0.212,14.227
2019-01-01 11:00,2019-01-01 13:00,0.208,0.062,0.197,14.382
2019-01-01 12:00,2019-01-01 14:00,0.143,0.041,0.144,14.384
2019-01-01 13:00,2019-01-01 15:00,0.054,0.014,0.070,14.177
2019-01-01 14:00,2019-01-01 16:00,0,0.002,0.009,13.699
2019-01-01 15:00,2019-01-01 17:00,0,0,0,13.426
2019-01-01 16:00,2019-01-01 18:00,0,0,0,13.300
2019-01-01 17:00,2019-01-01 19:00,0,0,0,13.182
2019-01-01 18:00,2019-01-01 20:00,0,0,0,13.144
2019-01-01 19:00,2019-01-01 21:00,0,0,0,13.125
2019-01-01 20:00,2019-01-01 22:00,0,0,0,13.154
2019-01-01 21:00,2019-01-01 23:00,0,0,0,13.019
2019-01-01 22:00,2019-01-02 00:00,0,0,0,12.921
2019-01-01 23:00,2019-01-02 01:00,0,0,0,12.901
2019-01-02 00:00,2019-01-02 02:00,0,0,0,12.820
2019-01-02 01:00,2019-01-02 03:00,0,0,0,12.829
2019-01-02 02:00,2019-01-02 04:00,0,0,0,12.771
2019-01-02 03:00,2019-01-02 05:00,0,0,0,13.014
2019-01-02 04:00,2019-01-02 06:00,0,0,0,13.107
2019-01-02 05:00,2019-01-02 07:00,0.025,0.012,0.037,13.649
2019-01-02 06:00,2019-01-02 08:00,0.119,0.043,0.115,14.725
2019-01-02 07:00,2019-01-02 09:00,0.213,0.084,0.183,15.248
2019-01-02 08:00,2019-01-02 10:00,0.237,0.076,0.219,15.443
2019-01-02 09:00,2019-01-02 11:00,0.152,0.021,0.174,15.284
2019-01-02 10:00,2019-01-02 12:00,0.121,0.013,0.148,15.104
2019-01-02 11:00,2019-01-02 13:00,0.084,0.007,0.111,14.759
2019-01-02 12:00,2019-01-02 14:00,0.049,0.004,0.074,14.295
2019-01-02 13:00,2019-01-02 15:00,0.010,0.001,0.028,13.779
2019-01-02 14:00,2019-01-02 16:00,0,0,0.003,13.350
2019-01-02 15:00,2019-01-02 17:00,0,0,0,13.019
2019-01-02 16:00,2019-01-02 18:00,0,0,0,12.689
2019-01-02 17:00,2019-01-02 19:00,0,0,0,12.413
2019-01-02 18:00,2019-01-02 20:00,0,0,0,12.225
2019-01-02 19:00,2019-01-02 21:00,0,0,0,12.088
2019-01-02 20:00,2019-01-02 22:00,0,0,0,12.095
2019-01-02 21:00,2019-01-02 23:00,0,0,0,12.196
2019-01-02 22:00,2019-01-03 00:00,0,0,0,12.272
2019-01-02 23:00,2019-01-03 01:00,0,0,0,12.302
2019-01-03 00:00,2019-01-03 02:00,0,0,0,12.346
2019-01-03 01:00,2019-01-03 03:00,0,0,0,12.443
2019-01-03 02:00,2019-01-03 04:00,0,0,0,12.400
2019-01-03 03:00,2019-01-03 05:00,0,0,0,12.140
2019-01-03 04:00,2019-01-03 06:00,0,0,0,11.941
2019-01-03 05:00,2019-01-03 07:00,0.076,0.065,0.043,12.665
2019-01-03 06:00,2019-01-03 08:00,0.302,0.281,0.090,14.134
2019-01-03 07:00,2019-01-03 09:00,0.509,0.544,0.095,14.714
2019-01-03 08:00,2019-01-03 10:00,0.602,0.671,0.104,15.082
