scenario_id,scenario_name,oil_factor,voll,carbon_tax,termination_status,primal_status,objective_value,investment_cost,operating_cost,oil_cost_total,gas_cost_total,carbon_cost_component,voll_cost_component,curtailment_penalty_component,reserve_shortfall_penalty_component,total_demand,total_nse_mwh,nse_pct,nse_hours,peak_nse,total_curt_pv,total_curt_wind,total_curt,curt_pct_of_potential,total_reserve_shortfall,reserve_shortfall_hours,max_reserve_shortfall,min_reserve_headroom,min_must_run_slack,cap_exist_pv,cap_exist_wind,cap_exist_oil_base,cap_exist_oil,cap_exist_gas,cap_pv,cap_wind,cap_oil,cap_gas,dcap_pv,dcap_wind,dcap_gas,Pbat_2,Ebat_2,Pbat_4,Ebat_4,Pbat_8,Ebat_8,Pbat_total,Ebat_total,total_generation_pv,total_generation_wind,total_generation_oil,total_generation_gas,total_battery_charge,total_battery_discharge,sync_min_frac,reserve_frac,ramp_oil_mw_per_h,ramp_gas_mw_per_h,curt_penalty,reserve_slack_penalty
1,base_oil0.00_voll2000_co20,0.0,2000.0,0.0,OPTIMAL,FEASIBLE_POINT,3.37801485444184e8,2.0213420360544103e8,1.356672818387601e8,0.0,1.3321774359210671e8,0.0,697483.2940967625,1.752054952556362e6,0.0,7.571096844236515e6,348.7416470483813,0.004606223566059127,5,122.06126355085425,260728.78226447574,89682.20824679689,350410.9905112726,6.787655575054638,0.0,0,0.0,0.0,0.0,659.52,157.5,1482.5,0.0,0.0,2222.3802104200213,682.0552338970816,0.0,685.8271782260612,1562.8602104200213,524.5552338970816,685.8271782260612,-0.0,-0.0,320.58094479740504,1282.3237791896202,397.40684262677405,3179.2547410141924,717.987787424179,4461.578520203812,3.266166387869984e6,1.5458971555221474e6,0.0,2.8469624354032893e6,1.7870015426320017e6,1.698723666426014e6,0.2,0.1,300.0,300.0,5.0,1.0e6
2,base_oil0.00_voll2000_co210,0.0,2000.0,10.0,OPTIMAL,FEASIBLE_POINT,3.4816700365052426e8,2.128990275655312e8,1.3526797608502093e8,0.0,1.2316284652808894e8,1.0029721491508914e7,7410.285505463477,2.0679977799135314e6,0.0,7.571096844236515e6,3.7051427527317387,4.893799179906505e-5,1,3.7051427527317387,319318.99397261854,94280.56201008729,413599.55598270585,7.571847972320292,0.0,0,0.0,0.0,0.0,659.52,157.5,1482.5,0.0,0.0,2421.0318012590214,675.6334461922421,0.0,649.0862085468575,1761.5118012590217,518.1334461922421,649.0862085468575,-0.0,-0.0,311.712503984959,1246.850015939836,487.6193333494603,3900.9546667956824,799.3318373344193,5147.804682735518,3.522834264307447e6,1.525899252094044e6,0.0,2.6320817936718566e6,2.2210965785353724e6,2.11137440755574e6,0.2,0.1,300.0,300.0,5.0,1.0e6
3,base_oil0.00_voll2000_co220,0.0,2000.0,20.0,OPTIMAL,FEASIBLE_POINT,3.578835835692732e8,2.205310883495502e8,1.3735249521969625e8,0.0,1.1604319040387905e8,1.8899869782915708e7,71872.8622306678,2.3375621706712684e6,0.0,7.571096844236515e6,35.9364311153339,0.00047465290505021673,1,35.9364311153339,368784.6054351778,98727.82869907584,467512.43413425365,8.223468785675179,0.0,0,0.0,11.84415035193851,0.0,659.52,157.5,1482.5,0.0,0.0,2563.180073450772,674.4571259189158,0.0,614.9854415849502,1903.660073450772,516.9571259189158,614.9854415849502,-0.0,-0.0,270.5165273238458,1082.0661092953833,578.523009770544,4628.184078164352,849.0395370943899,5710.250187459736,3.698956539330475e6,1.5186311505685048e6,0.0,2.4799294377463385e6,2.559842506882812e6,2.4333862870427994e6,0.2,0.1,300.0,300.0,5.0,1.0e6
4,base_oil0.00_voll2000_co230,0.0,2000.0,30.0,OPTIMAL,FEASIBLE_POINT,3.67191172720261e8,2.2470167929848543e8,1.4248949342174897e8,0.0,1.1246449854284103e8,2.7475516274536025e7,0.0,2.549478604367706e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,401868.05657153495,108027.66430200681,509895.7208735418,8.767590308838317,0.0,0,0.0,18.766539466435148,0.0,659.52,157.5,1482.5,0.0,0.0,2614.2497737782246,695.1163037806878,0.0,602.4794705062139,1954.7297737782246,537.6163037806878,602.4794705062139,-0.0,-0.0,262.46485953008624,1049.859438120345,604.9907380423097,4839.925904338477,867.4555975723958,5889.785342458822,3.7469201919167694e6,1.558872354024947e6,0.0,2.4034501263459474e6,2.7964742520465753e6,2.6583284239954175e6,0.2,0.1,300.0,300.0,5.0,1.0e6
5,base_oil0.00_voll2000_co240,0.0,2000.0,40.0,OPTIMAL,FEASIBLE_POINT,3.76147902980014e8,2.298925849099106e8,1.462553180701258e8,0.0,1.0829580680049278e8,3.527611813224614e7,0.0,2.6833931373857716e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,433809.3247950607,102869.30268209269,536678.6274771533,9.019589504533643,0.0,0,0.0,56.89193020912356,0.0,659.52,157.5,1482.5,0.0,0.0,2735.339859691761,671.0496105306354,0.0,576.9463058323696,2075.819859691761,513.5496105306354,576.9463058323696,-0.0,-0.0,281.5689683931461,1126.2758735725845,650.7244525650351,5205.795620520281,932.2934209581813,6332.071494092866,3.9071476791371643e6,1.506318400164139e6,0.0,2.31436207789793e6,3.172698642971e6,3.0159673300082055e6,0.2,0.1,300.0,300.0,5.0,1.0e6
6,base_oil0.00_voll2000_co250,0.0,2000.0,50.0,OPTIMAL,FEASIBLE_POINT,3.847811347524265e8,2.3822734990367264e8,1.4655378484876537e8,0.0,1.0200667316292623e8,4.153438114416076e7,0.0,3.0127305416794172e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,496865.0896546321,105681.01868125009,602546.1083358822,9.751198295899448,0.0,0,0.0,104.87434158533196,0.0,659.52,157.5,1482.5,0.0,0.0,2887.2660957372427,666.0248418764518,0.0,541.628807785497,2227.7460957372427,508.52484187645183,541.628807785497,-0.0,-0.0,303.19986717268307,1212.7994686907323,712.6396768726341,5701.117414981073,1015.8395440453172,6913.916883671805,4.0851973316194164e6,1.491457208535953e6,0.0,2.179958606298742e6,3.7553907331510056e6,3.5698744309333563e6,0.2,0.1,300.0,300.0,5.0,1.0e6
7,base_oil0.00_voll6500_co20,0.0,6500.0,0.0,OPTIMAL,FEASIBLE_POINT,3.3788731905173117e8,2.0608361887147534e8,1.318037001802534e8,0.0,1.3005559892507273e8,0.0,0.0,1.7481012551807887e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,262506.3702252729,87113.88081088361,349620.2510361565,6.673732224926157,0.0,0,0.0,0.0,0.0,659.52,157.5,1482.5,0.0,0.0,2279.5852267672853,676.0057484445083,0.0,678.3201033291169,1620.0652267672854,518.5057484445083,678.3201033291169,-0.0,-0.0,366.7425424022932,1466.970169609173,407.04230009223767,3256.3384007379013,773.784842494531,4723.308570347074,3.355172588802143e6,1.5339587200510171e6,0.0,2.779385047890166e6,1.9720549090450427e6,1.8746353965381687e6,0.2,0.1,300.0,300.0,5.0,1.0e6
8,base_oil0.00_voll6500_co210,0.0,6500.0,10.0,OPTIMAL,FEASIBLE_POINT,3.481712395568931e8,2.1327936447629276e8,1.3489187508059716e8,0.0,1.2282075042394847e8,1.000186302002467e7,0.0,2.0692616366235833e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,319708.1150158549,94144.21230886214,413852.327324717,7.564479794151131,0.0,0,0.0,0.0,0.0,659.52,157.5,1482.5,0.0,0.0,2426.5207069642147,675.6131380738034,0.0,647.5053777335165,1767.0007069642147,518.1131380738034,647.5053777335165,-0.0,-0.0,314.78946402494375,1259.157856099775,489.8293419733523,3918.6347357868185,804.618805998296,5177.792591886593,3.531155981729278e6,1.5259869026023268e6,0.0,2.6247709450451983e6,2.243258808506739e6,2.132441823366512e6,0.2,0.1,300.0,300.0,5.0,1.0e6
9,base_oil0.00_voll6500_co220,0.0,6500.0,20.0,OPTIMAL,FEASIBLE_POINT,3.5788495434952766e8,2.206737862894025e8,1.3721116806013858e8,0.0,1.1596658025635314e8,1.8887392344064392e7,0.0,2.3571954597213175e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,372529.7788875247,98909.3130567383,471439.09194426297,8.283977520957059,0.0,0,0.0,13.215737691586895,0.0,659.52,157.5,1482.5,0.0,0.0,2568.6440199572808,673.2910262394104,0.0,615.68903862458,1909.1240199572806,515.7910262394104,615.68903862458,-0.0,-0.0,275.08389068921883,1100.3355627568753,574.6807755894853,4597.446204715882,849.7646662787041,5697.781767472758,3.7038825943444623e6,1.5156533405217875e6,0.0,2.478292221814661e6,2.565411183086912e6,2.4386798706424246e6,0.2,0.1,300.0,300.0,5.0,1.0e6
10,base_oil0.00_voll6500_co230,0.0,6500.0,30.0,OPTIMAL,FEASIBLE_POINT,3.6719117272026104e8,2.2470167929848546e8,1.4248949342174903e8,0.0,1.1246449854284102e8,2.7475516274536025e7,0.0,2.549478604367708e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,402176.5380448407,107719.18282870119,509895.7208735419,8.76759030883832,0.0,0,0.0,18.766539466434267,0.0,659.52,157.5,1482.5,0.0,0.0,2614.2497737782237,695.1163037806884,0.0,602.4794705062138,1954.7297737782237,537.6163037806884,602.4794705062138,-0.0,-0.0,262.4648595300843,1049.8594381203372,604.9907380423108,4839.925904338486,867.4555975723952,5889.785342458824,3.746611710443463e6,1.5591808354982538e6,0.0,2.403450126345947e6,2.7964742520465744e6,2.6583284239954175e6,0.2,0.1,300.0,300.0,5.0,1.0e6
